Candidato;Partido;Coligação;Situação;Votação;Receita_total
ROGERIO GARCIA DE OLIVEIRA;PDT;PDT;Suplente;2641;33633,889999999
ROGERIO LINS WANDERLEY;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;53380;177306,03
ROGERIO PEDROSA GARCIA DOS SANTOS;PV;PV;Suplente;108;0
ROGÉRIO RODRIGUES MATHIAS;PT;PT / PC do B;Suplente;16085;7680
ROLANDO BELTRAMINE ROLEMBERG;PMDB;PMDB / PROS / PP / PSD;Suplente;171;18815,34
ROMILDO ARAUJO DE SOUSA;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;401;2391,25
RONALDO DUCCESCHI FONTES;PTC;PSL / PTN / PMN / PTC / PT do B;Suplente;1661;10950
RONALDO ROCCELLO;PSDB;PSDB / DEM / PPS;Suplente;1210;0
RONALDO VLADEMIR FERREIRA;PRB;PRB;Suplente;10076;7863,9
RONDINELLI SALVADOR SILVA;PCB;PCB;Não eleito;181;0
ROQUE JOSE FERREIRA;PT;PT / PC do B;Suplente;7087;37043,4
ROQUE PINHEIRO GODOY;PTB;PTB;Suplente;2271;49590,699999999
ROSA RAMOS;PMDB;PMDB / PROS / PP / PSD;Suplente;882;26879,46
ROSALBA NERIS RODRIGUES;PV;PV;Suplente;46;5000
ROSÁLIA SILVA SANTANA;PRP;PHS / PRP;Não eleito;132;312,5
ROSALINA MARTINS DE SOUZA;PSOL;PSOL / PSTU;Suplente;174;460,6
ROSANA RIBEIRO ORTIZ BRIANESI;PEN;PEN;Não eleito;281;2000
ROSANGELA LOBO TEIXEIRA ZIZLER;PRP;PHS / PRP;Não eleito;1658;20522
ROSANGELA MUNIZ DE ARAUJO TOMAZ;PTN;PSL / PTN / PMN / PTC / PT do B;Suplente;502;27759,779999999
ROSANGELA RIBEIRO DE ASSIS;PDT;PDT;Suplente;925;27759,779999999
ROSEMARY DA SILVEIRA;PDT;PDT;Suplente;337;4383,89
ROSEMEIRE ALVES SILVEIRA;PHS;PHS / PRP;Não eleito;456;859
ROSEMEIRE RODOLFO;PSTU;PSOL / PSTU;Suplente;33;1238,54
ROSEMÉRI DO NASCIMENTO SUPPLIZI;PSDB;PSDB / DEM / PPS;Suplente;88;200
ROSENIL BARROS ORFAO;PT;PT / PC do B;Suplente;2333;64550,759999999
ROSICLER RIBEIRO CAMARGO;PRB;PRB;Suplente;1003;13022,62
ROSIMEIRE AVELINA DE JESUS;PHS;PHS / PRP;Não eleito;127;0
ROSIRIS MARGARIDA CÔNSOLO GOMES DA SILVA;PTB;PTB;Suplente;891;7882,6499999999
RUBENS BENEDITO FERNANDES;PROS;PMDB / PROS / PP / PSD;Suplente;5420;47989,619999999
RUBENS DE SOUZA FERNANDES;SD;SD;Suplente;607;17665,609999999
RUBENS EDUARDO DOCAMPO ANTONINI;PV;PV;Suplente;3700;2000
RUBENS GALLEONI FILHO;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;559;4390,75
RUBENS MASSASHI ITO;PSL;PSL / PTN / PMN / PTC / PT do B;Suplente;544;2484,25
RUBENS SHOZI NAKANO;SD;SD;Suplente;6486;169000,41
RUI SILVA RAMOS;PV;PV;Suplente;180;0
SALDANHA LEIVAS COUGO;PRB;PRB;Suplente;3445;15284,459999999
SALVADOR  ZIMBALDI FILHO;PROS;PMDB / PROS / PP / PSD;Suplente;65641;1326380,24
SALVADOR MORETTI;PRTB;PRTB;Não eleito;1457;3052,05
SAMANTHA OLIVEIRA PITA DO NASCIMENTO;PMDB;PMDB / PROS / PP / PSD;Suplente;1361;28991,09
SAMIR HADDAD JUNIOR;PRB;PRB;Suplente;554;3935,2399999999
SAMUEL FERREIRA DE ARAUJO;PRB;PRB;Suplente;522;2337,22
SAMUEL FERREIRA DIAS DA SILVA;PSB;PSB;Suplente;1583;7300,26
SAMUEL MOREIRA DA SILVA JUNIOR;PSDB;PSDB / DEM / PPS;Eleito por QP;227210;2811609,0899999
SAMUEL PEREIRA DOS SANTOS;PSOL;PSOL / PSTU;Suplente;885;150
SANDRA APARECIDA FONSECA TROIA;PV;PV;Suplente;368;0
SANDRA NOGUEIRA FERREIRA DA SILVA;PMDB;PMDB / PROS / PP / PSD;Suplente;842;9301
SANDRA REGINA DA SILVA;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;645;2102,4
SANDRO DE LIMA SANTOS;PHS;PHS / PRP;Não eleito;896;320
SANDRO DOS SANTOS PEREIRA;PSOL;PSOL / PSTU;Suplente;9063;8366
