Candidato;Partido;Coligação;Situação;Votação;Receita_total
ANTONIA DORANILDES ALMEIDA PEREIRA TANG;SD;SD;Suplente;1702;15682,91
ANTONIA EDNA SANTOS DE SOUZA;PPS;PSDB / DEM / PPS;Suplente;2277;59925,29
ANTONIO ADOLPHO LOBBE NETO;PSDB;PSDB / DEM / PPS;Suplente;77793;406480,35999999
ANTONIO ALEXANDRE GALDI DELGADO;PSDC;PSDC;Não eleito;400;0
ANTÔNIO APARECIDO FIRMINO;SD;SD;Suplente;919;0
ANTÔNIO BARBOSA AGUIAR;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;294;1044,4
ANTONIO CARLOS ALVES DA SILVA;PV;PV;Suplente;8619;12420
ANTONIO CARLOS DE MENDES THAME;PSDB;PSDB / DEM / PPS;Suplente;106676;1622711,06
ANTONIO CARLOS DELA COLETA;PHS;PHS / PRP;Não eleito;465;6403,55
ANTONIO CARLOS ESTABILE;PRB;PRB;Suplente;707;4659,8599999999
ANTONIO CARLOS LIMEIRAS;PSOL;PSOL / PSTU;Suplente;151;300
ANTONIO CARLOS MARTINS DE BULHÕES;PRB;PRB;Eleito por QP;137939;232500,2
ANTONIO CARLOS RIVELLI;PR;PR;Suplente;850;18148
ANTONIO CICERO DA SILVA;PRP;PHS / PRP;Não eleito;3023;4281,1
ANTONIO CLAUDIO FELISBINO JUNIOR;PV;PV;Suplente;5380;22722,85
ANTÔNIO DA CUNHA LIMA;SD;SD;Suplente;2938;267005
ANTONIO DE JESUS ROCHA;PSOL;PSOL / PSTU;Suplente;4999;27399
ANTONIO DELBUCIO NETO;SD;SD;Suplente;251;14717,91
ANTÔNIO DONIZETE FERREIRA;PSTU;PSOL / PSTU;Suplente;22854;117406,99
ANTONIO DUARTE NOGUEIRA JUNIOR;PSDB;PSDB / DEM / PPS;Eleito por QP;254051;4438052,9399999
ANTONIO FERREIRA PINTO;PMDB;PMDB / PROS / PP / PSD;Suplente;12114;333135,97
ANTONIO FLORIANO PEREIRA PESARO;PSDB;PSDB / DEM / PPS;Eleito por médi;113949;2572639,0699999
ANTONIO FRANCISCO DE OLIVEIRA;PSOL;PSOL / PSTU;Suplente;1287;3846,1999999999
ANTÔNIO GOMES DA SILVA;PT do B;PSL / PTN / PMN / PTC / PT do B;Suplente;249;0
ANTONIO GOULART DOS REIS;PSD;PMDB / PROS / PP / PSD;Eleito por médi;92546;947085,43
ANTÔNIO MARIA ANDRADE COELHO JÚNIOR;PCO;PCO;Não eleito;171;0
ANTONIO MONTEIRO;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;5436;7914,38
ANTONIO OCILIO VASCONCELOS DA SILVA;PSOL;PSOL / PSTU;Suplente;950;3870
ANTONIO OLIVA DE ARAUJO;PEN;PEN;Não eleito;590;2220
ANTONIO RODRIGUES SANDOVAL;PSC;PSC;Suplente;1223;11716,139999999
ANTONIO SOBREIRA DE LIMA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;312;3388
ANTONIO YOSIAKI MURAKI;PTB;PTB;Não eleito;0;10245,049999999
APARECIDO BARBOSA LIMA;PSB;PSB;Suplente;790;0
APARECIDO CARLOS AFONSO;PSDB;PSDB / DEM / PPS;Suplente;3015;285,47
APARECIDO MARIN;PHS;PHS / PRP;Não eleito;1085;885,5
APARECIDO MOREIRA DA SILVA;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;1057;4124
APARECIDO RUBENS DE ANDRADE;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;447;5031,4
ARACI DE OLIVEIRA;SD;SD;Suplente;86;2842,65
ARLEI MEDEIROS DA MATA;PSOL;PSOL / PSTU;Suplente;8612;151253,05
ARLEM SPENCER SCORSATO;PMN;PSL / PTN / PMN / PTC / PT do B;Suplente;528;608
ARLINDO CHIGNALIA JUNIOR;PT;PT / PC do B;Eleito por QP;135772;4834358,2499999
ARLINDO MUNUERA JUNIOR;PRP;PHS / PRP;Não eleito;801;0
ARNALDO CALIL PEREIRA JARDIM;PPS;PSDB / DEM / PPS;Eleito por QP;155278;4805922,75
ARNALDO FARIA DE SÁ;PTB;PTB;Eleito por QP;112940;1925128,97
