"NUMERO_CANDIDATO","QTDE_VOTOS"
"4524","24750"
"4525","3305"
"4526","387"
"4527","598"
"4528","472"
"4530","42397"
"4532","2915"
"4533","76947"
"4535","131575"
"4537","435"
"4540","176444"
"4543","1370"
"4544","209819"
"4545","2006192"
"4546","4780"
"4547","173249"
"4550","360064"
"4551","149403"
"4552","737"
"4553","2359"
"4554","18001"
"4555","643890"
"4556","34734"
"4557","5249"
"4558","378"
"4560","143901"
"4561","3374"
"4562","1922"
"4563","4025"
"4565","379396"
"4566","199333"
"4567","619352"
"4568","7127"
"4569","1458"
"4570","5478"
"4573","1669"
"4574","711"
"4575","2837"
"4577","169818"
"4578","84355"
"4579","527"
"4580","228539"
"4581","2549"
"4585","178606"
"4587","429"
"4588","13913"
"4589","207"
"4590","203604"
"4591","155"
"4592","85"
"4593","88"
"4595","291"
"4596","311"
"4597","678"
"4598","885"
"4599","122698"
"50","255376"
"5000","87094"
"5001","28680"
"5002","12849"
"5003","822"
"5004","998"
"5005","173943"
"5006","4872"
"5007","3317"
"5008","2052"
"5009","3828"
"5010","32153"
"5011","18282"
"5012","14750"
"5013","6013"
"5014","3971"
"5015","7745"
"5016","419"
"5017","639"
"5018","775"
"5019","4440"
"5020","60680"
"5021","17618"
"5022","5096"
"5023","3427"
"5024","1961"
"5025","4386"
"5026","1750"
"5027","457"
"5028","1746"
"5029","2568"
"5030","13695"
"5031","331"
"5032","2849"
"5033","9156"
"5034","835"
"5035","196"
"5036","1287"
"5037","12300"
"5038","2436"
"5039","1589"
"5040","1749"
"5041","212"
"5042","706"
"5043","482"
"5044","17253"
"5045","6311"
"5046","453"
"5047","2724"
"5048","174"
"5049","124"
"5050","689505"
"5051","13655"
"5052","3186"
"5053","1148"
"5054","564"
"5055","47830"
"5056","8377"
"5057","2712"
"5058","3615"
"5059","185"
"5060","7568"
"5061","585"
"5062","7406"
"5063","238"
"5064","243"
"5065","2819"
"5066","1471"
"5067","1911"
"5068","956"
"5069","616"
"5070","9685"
"5071","716"
"5072","5617"
"5073","258"
"5074","393"
"5075","11710"
"5076","16463"
"5077","6854"
"5078","10752"
"5079","181"
"5080","4129"
"5081","1926"
"5083","244"
"5084","159"
"5085","119"
"5086","321"
"5087","61"
"5088","20560"
"5089","9373"
"5090","11336"
"5091","2996"
"5092","51"
"5093","747"
"5094","78"
"5095","885"
"5096","6556"
"5097","276"
"5098","500"
"5099","12175"
"51","33301"
"5100","8882"
"5101","1484"
"5102","52"
"5103","322"
"5104","270"
"5105","1777"
"5106","292"
"5107","9528"
"5108","930"
"5109","120"
"5110","25020"
"5111","31926"
"5112","10481"
"5113","1824"
"5114","2807"
"5115","31214"
"5117","369"
"5118","2313"
"5119","714"
"5120","2768"
"5121","7014"
"5122","55524"
"5123","58546"
"5125","7028"
"5126","1161"
"5127","387"
"5128","1095"
"5129","347"
"5130","1652"
"5131","992"
"5132","2338"
"5133","31980"
"5134","319"
"5136","925"
"5137","6187"
"5138","6317"
"5140","804"
"5141","472"
"5144","1059"
"5145","532"
"5147","5253"
"5148","2698"
"5149","1423"
"5150","6807"
"5151","208579"
"5152","10672"
"5153","604"
"5154","2759"
"5155","7507"
"5156","4095"
"5158","1874"
"5160","4994"
"5161","533"
"5162","173"
"5165","89"
"5166","2774"
"5168","955"
"5169","1600"
"5170","3338"
"5172","799"
"5174","63"
"5176","47"
"5177","13640"
"5180","3257"
"5181","384"
"5182","659"
"5183","85"
"5184","301"
"5185","176"
"5186","2435"
"5187","1389"
"5188","3171"
"5190","9916"
"5191","2132"
"5192","19024"
"5193","1813"
"5195","565"
"5196","437"
"5198","413"
"5199","11015"
"54","37648"
"5400","11013"
"5410","3713"
"5412","9114"
"5413","480"
"5415","660"
"5421","334"
"5423","456"
"5424","77"
"5431","237"
"5432","562"
"5433","326"
"5435","122"
"5440","15624"
"5444","7070"
"5445","3037"
"5451","973"
"5454","47334"
"5455","513"
"5456","2536"
"5474","992"
"5477","2351"
"5480","217"
"5499","3957"
"55","329992"
"5500","508742"
"5501","217500"
"5505","12760"
"5507","4353"
"5509","18"
"5510","287084"
"5511","29629"
"5512","91812"
"5513","42058"
"5515","153324"
